Link to More Information," Project Name 
(Number/Year Loan Approved)  
and Description",A/Ma,RE or EE,Share of CE Component,"Project Life
(Years)b","Annual Energy Savings
(MWh)b",Annual Energy Produced (MWh)b,"Renewable Capacity Added
(MW)b",Annual GHG Emission Avoided (ton of CO2 Equivalent)b,Target Resultsb,"Total Project Cost
($ million)",Loan Approval ($ million)c,"Eligibility for Green Bonds
($ million)d","Allocated Amount 
($ million)e"," Reflow Amount 
($ million)f "
https://www.adb.org/projects/50373-002/main,"Sri Lanka: Rooftop Solar Power Generation Project (3571/FY2017). Install rooftop solar power generation systems, develop rooftop solar market infrastructure and a bankable subproject pipeline, and build capacity and increase awareness of stakeholders in Sri Lanka.",M,RE,100.0%,25,n/a,"75,600",50.0,"55,600","• About 6,400 rooftop solar subprojects financed utilizing a $50 million loan and $9.8 million leveraged from the private sector.
• 10 private financial institutions (PFIs) for handling debt funding of rooftop solar systems by commercial and domestic sectors selected.
• Pipeline of bankable subprojects for 50 MW of capacity developed.
• Project technical guidelines and standards to be followed by borrowers, vendors, and accredited engineers established.
• Technical verification during pre- and post-installation conducted.
• An analytical report on identified technical shortcomings and failures prepared.
• A comprehensive database of all installations, including online technical performance information of selected rooftop solar photovoltaic systems, established and maintained.",59.80,50.00,50.00,50.00, (5.46)
https://www.adb.org/projects/49067-001/main#project-pds,"Thailand: Southern Thailand Waste-to-Energy (WTE) Project (Chana Green Company Limited) (7524/3581/FY2017). Construct and operate a 25-MW biomass WTE power project located in Chana, Songhla Province, Southern Thailand, which will convert about 825 tons per day of agricultural waste into renewable electricity generation.",M,RE,100.0%,40,n/a,"166,000",25.0,"72,874","• 25 MW of renewable electricity generation capacity installed.
• 300 jobs generated during construction.",not disclosedg,33.60,33.60,35.34, (13.56)
https://www.adb.org/projects/49345-002/main,"Sri Lanka: Wind Power Generation Project (3585/FY2017). Support wind power generation development, involving construction of a 100-MW wind farm, including wind park internal infrastructure, internal cabling, access roads, and other arrangements; installation of a renewable energy dispatch control center to forecast, control, and manage intermittent wind power generation; improvement of power system reactive power management; and provision of project engineering design review and supervision support in Mannar Island of the Northern Province.",A and M,RE,100.0%,20,n/a,"345,600",100.0,"265,700","• 100-MW wind power park constructed.
• Wind park internal infrastructure, including 31 km of 33-kV underground cables and access roads, developed.
• Renewable energy dispatch control center to forecast, control, and manage intermittent 100-MW wind power generation established.
• 100-MVA reactive reactors at Anuradhapura grid substation (North Central Province) installed.
• 50-MVA reactive reactor at Mannar grid substation (Northern Province) installed.
• Engineering oversight of wind turbine installation, commissioning and testing, and technical certification over the construction period delivered.",256.70,200.00,200.00,139.45, (18.34)
https://www.adb.org/projects/51209-001/main,"Indonesia: Eastern Indonesia Renewable Energy, Phase 1 (PT Energi Bayu Jeneponto) (7533/3606/FY2017). Support the construction, operation, and maintenance of a portfolio of renewable energy projects by the Equis Group of East Indonesia; Phase 1 is a 72-MW wind power plant in Jeneponto, South Sulawesi.",M,RE,100.0%,20,n/a,"234,000",72.0,"159,000","• 72 MW of wind capacity installed.
• At least 500 jobs (10% of them filled by women) provided during construction.",not disclosedh,56.35,56.35,56.33, (23.43)
https://www.adb.org/projects/50371-001/main,"Viet Nam: Municipal Waste-to-Energy Project
(China Everbright International Limited) (7534/3607/FY2017). Support the construction and operation of a series of waste-to-energy plants with advanced clean technologies, including flue gas emission control to meet European Union standards, in multiple municipalities; each plant incinerates municipal solid waste, recovers waste heat for power generation, and supplies electricity to the local grid.",M,RE,100.0%,40,n/a,"790,000",110.0,"787,300","• 110 MW of installed power capacity from municipal WTE plants commissioned by 2022.
• 7,500 tons per day of municipal solid waste treatment capacity from municipal WTE plants commissioned by 2022.
• About 1,500 jobs (at least 75 of them filled by women) provided during construction by 2022.",not disclosedh,100.00,100.00,21.00, (21.43)
https://www.adb.org/projects/51210-001/main,"India: Ostro Kutch Wind Private Limited (Kutch Wind Project) (7539/3622/FY2017). Install 125 V-110 Vestas turbines of 2-MW wind capacity each. Ostro Kutch has signed four power purchase agreements with PTC India Limited for the sale of 250-MW wind power produced by the project. Facilitating the delivery of the country's first wind energy auction, the project demonstrates the commercial viability of competitively bid wind projects and encourages long-term private sector financing in this sector. The project will also help reduce the country's dependence on fossil fuels and promote renewable energy development.",M,RE,100.0%,20,n/a,"762,000",250.0,"669,036","• 250 MW of wind power capacity installed.
• 762 GWh of electricity generated and delivered to offtaker per year.",not disclosedh,100.00,100.00,94.28, (31.47)
https://www.adb.org/projects/51186-001/main#project-pds ,"China, People’s Republic of: Geothermal
District Heating Project (Sinopec Green Energy
Geothermal Development) (7540/3638/FY2017). Support the construction, acquisition, rehabilitation, and operation of a series of urban district heating system based on geothermal energy.",M,RE,100.0%,30,"14,293",…,…,"7,000,000","• At least 20 municipalities or counties connected by Sinopec Green Energy to geothermal-based district heating by 2021.
• At least 2,000 jobs provided during construction by 2021.",not disclosedh,200.00,200.00,8.97, (9.15)
https://www.adb.org/projects/50088-002/main,"Mongolia: Upscaling Renewable Energy Sector Project (3708/FY2018). Develop a 41-MW renewable energy, the first of its kind, and distributed renewable energy system with a variety of renewable energy technologies supplying clean electricity and heat in geographically scattered load centers in the less-developed region of Western Mongolia. Once completed, the project will generate 99 GWh of clean electricity yearly, thereby enabling the country to reduce its CO2 emissions by 87,968 tons per year.",M,RE,100.0%,"20 (wind)
25 (solar)",n/a,"99,000",41.0,"87,968","• Core subprojects: 10 MW of distributed renewable energy capacity installed in the western grid system, and 15.5 MW of capacity with battery storage installed in the Altai–Uliastai grid system by 2021.
• Non-core subprojects: 15 MW of distributed renewable energy capacity installed in Altai–Uliastai grid system by 2022.
• 500 kW of shallow-ground heat pumps installed in five selected aimag (province) centers by 2023.
",66.22,40.00,40.00,17.50, (0.77)
https://www.adb.org/projects/50330-001/main,"Indonesia: Rantau Dedap Geothermal Power Project, Phase 2 (3647/FY2018). Construct, operate, and maintain the project, with a design gross capacity of 98.4 MW and net capacity of 90.9 MW, in South Sumatra Province. It is located about 225 km southwest of Palembang across the administrative areas of Muara Enim Regency, Lahat Regency, and Pagar Alam City.",M,RE,100.0%,30,n/a,"702,500",90.9,"403,000","• 90.9 MW of electricity generation capacity installed.
• At least 1,000 jobs provided during construction.
",709.00,177.50,177.50,175.32, (41.97)
https://www.adb.org/projects/51209-002/main,"Indonesia: Eastern Indonesia Renewable Energy Project, Phase 2 (7550/3653–3656/FY2018). Construct, operate, and maintain projects by Equis Group in Eastern Indonesia. Phase 2 consists of a 21-MW solar power plant and associated infrastructure in Likupang, North Sulawesi; and three 7-MW solar power plants and associated infrastructure in Pringgabaya, Selong, and Sengkol in Lombok, West Nusa Tenggara. Equis Group will develop and implement phase 2 under four 20-year build–own–operate power purchase agreements.",M,RE,100.0%,25,n/a,"61,000",42.0,"41,400","• 42 MW of solar electricity generation capacity installed.
• About 800 jobs (at least 30 of them filled by women) provided during construction.
• One capacity-building training on renewable energy and entrepreneurial skills targeting women entrepreneurs conducted annually for the first 4 years.
",53.56,12.49,12.49,12.49, (5.15)
https://www.adb.org/projects/51250-001/main#project-overview,"Kazakhstan: Baikonyr Solar Power Project (7556/3658/FY2018). Support the design, construction, commissioning, operation, and maintenance of a 50-MWp ground-mounted solar power plant (along with associated infrastructure) and its integration into the grid. The main project components will include about 150,822 photovoltaic panels, 14 central inverter stations, and a substation. The project is located in southern Kazakhstan, about 30 km east of Kyzylorda, and will cover 150 ha.",M,RE,100.0%,25,n/a,"73,000",50.0,"40,800","• Solar power generation capacity increased by 50 MWp (nominal power).
• At least 150 jobs provided during construction.
• At least 30 jobs (5% of them filled by women) provided during operations.
",72.00,12.00,12.00,10.23, (5.81)
https://www.adb.org/projects/51327-001/main#project-overview,"Viet Nam: Floating Solar Energy Project (7571/3723/FY2018). Install 47.5-MW floating solar photovoltaic panels on the reservoir of the existing Da Mi Hydropower Plant; additional facilities include a floating central inverter, a grounded substation, and a new 3.5-km, 110-kV transmission line to connect with the national grid.",M,RE,100.0%,25,n/a,"63,138",47.5,"30,302","• 47.5 MW of electricity generation photovoltaic capacity installed.
• Total transmission line increased by 3.5 km.
• At least 40 jobs provided during construction.
• At least 10 jobs provided during operations.
",62.00,17.60,17.60,17.60, (10.71)
https://www.adb.org/projects/51399-001/main,"China, People's Republic of: Eco-Industrial Park Waste-to-Energy Project (7576/3750/FY2018). Support the construction and operation of a portfolio of waste-to-energy (WTE) plants using clean, state-of-the-art technology, including advanced flue gas emission control systems that can meet stringent environmental standards. Each WTE will help meet the need of municipalities to treat waste and supply electricity to the local grid, with potential to supply power and steam to treat various waste types within the park.",M,RE,100.0%,40,n/a,"275,000",60.0,"737,154","• 60 MW of electricity generation capacity from WTE plants installed.
• Municipal solid waste treatment capacity increased to 3,000 tons per day.
• At least 40 jobs provided during construction.
• Technical training provided to at least 50 female staff.
• At least 150 new jobs (31 of them filled by women) provided during operations.
",400.00,100.00,100.00,54.94, (21.03)
https://www.adb.org/projects/52292-001/main,"Thailand: Thailand Green Bond Project (7579/3753 and 7579/3754/FY2018). Issue corporate bonds for the construction and refinancing of 16 utility-scale solar power plants in Thailand; total installed capacity of the 16 plants is 98.5 MW, of which nine plants totaling 67.7 MW are completed and operational, while seven plants totaling 30.8 MW are under construction. B. Grimm will issue corporate bonds to which ADB will subscribe.",M,RE,100.0%,25,n/a,"45,000",30.8,"20,115","• 30.8 MW in additional solar capacity for seven plants installed in Thailand by B. Grimm.
• Assurance report issued for green bond compliance, and climate bond certificate application submitted and approved by 2019.
• Five additional FTE local staff employed during operations by 2020.",154.68,154.68,154.68,152.46, (42.10)
https://www.adb.org/projects/49450-008/main,"Vanuatu: Energy Access Project (3572/FY2017). Install hydropower generation to replace diesel generation in Malekula, and extend the distribution grid in both Malekula and Espiritu Santo.",M,RE,100.0%,30,n/a,"2,800",0.4,600,"• Hydropower of 400 kW generated by February 2023.
• In Espiritu Santo and Malekula, 1,050 new customers connected by October 2023, including subsidized connections to 100 households headed by women.
• In Espiritu Santo and Malekula, 21-km transmission line and 79-km distribution line constructed by October 2023.
• 10 training workshops conducted for newly connected households, including power safety household utility budget and business skills training (with 40% women participation) by October 2019.
• Training activities conducted for PMU staff and government management, including gender awareness training.",15.10,2.50,2.50,2.42, (0.04)
https://www.adb.org/projects/50059-002/main,"Nepal: Power Transmission and Distribution Efficiency Enhancement Project (3542/FY2017). Enhance the distribution capacity and improve reliability and quality of electricity supply in the Kathmandu Valley by reducing distribution system overloads and technical and commercial losses, and strengthen associated transmission lines through the Nepal Electricity Authority.",M,EE,100.0%,30,"6,500",n/a,n/a,"54,400","• Two new 220/132-kV (160 MVA each) and one 132/11-kV (45 MVA) substations installed to complete the New Khimti–Kathmandu transmission link.
• Three new 132/11-kV (45 MVA each) substations established in Kathmandu Valley.
• Of 11-kV feeders, 300 km constructed and/or reinforced.
• Of 0.4-kV distribution lines, 600 km constructed and/or reinforced.
• 1,000 new distribution transformers installed, with added capacity of 200 MVA.
• 90,000 smart meters and associated communications facilities deployed and installed. 
",189.00,150.00,150.00,107.12, (2.46)
https://www.adb.org/projects/52224-001/main#project-pds,"Kazakhstan: Total Eren Access M-KAT Solar Power Project (3770/FY2019). Design, construct, and operate a 135-MW ground-mounted solar power plant, along with associated infrastructure and grid integration for further electricity sale per a fixed tariff; the total annual output from the project is expected to be 207 GWh.      ",M,RE,100.0%,25,n/a,"207,000",135.0,"120,500","• Solar power generation capacity increased by 135 MW.
• At least 200 jobs (5% of them filled by women) provided during construction.
",165.52,41.38,41.38,28.05, (12.99)
https://www.adb.org/projects/52127-001/main#project-pds,"Mongolia: Sermsang Khushig Khundii Solar Project (3772/FY2019). Construct and operate a 15-MW solar power plant and associated infrastructure in Khushig Valley, which is expected to generate a total of 22.3 GWh of clean electricity annually to be utilized by the new international airport and by Ulaanbaatar City.                                       ",M,RE,100.0%,25,n/a,"22,300",15.0,"24,400","• 15 MW of renewable energy electricity generation capacity installed. 
• 14-km transmission lines installed or upgraded.
• Policy and strategy for gender-inclusive employment within Sermsang Power Corporation Public Company Limited (SSP) and Tenuun Gerel Construction LLC (TGC) developed and implemented. 
• At least 52 person-years of jobs provided during construction.  
• At least 13 jobs provided during operations (two of them filled by women, each in technical and management positions).
",18.70,9.60,9.60,9.60, (4.05)
https://www.adb.org/projects/52329-001/main#project-pds,"Regional: Pacific Renewable Energy Program (3784/FY2019). Provide an umbrella facility to deliver financing support, including loans, guarantees, and letters of credit, to overcome the constraints to private sector investment in renewable power projects in Pacific island countries.",M,RE,80.0%,25-30,n/a,n/a,n/a,n/a,"• Five investments in renewable energy generation projects supported, with at least two projects categorized as having some gender elements.
• Program's loans and guarantees obligations reached $50 million.",100.00,50.00,50.00,0.00, -   
https://www.adb.org/projects/51182-001/main#project-pds,"Cambodia: National Solar Park (3789/FY2019). Support the expanded deployment of solar photovoltaic power plants in Cambodia and address the country’s need to (i) expand low-cost power generation; (ii) diversify the power generation mix with an increase in the percentage of clean energy, in line with its greenhouse gas emission reduction targets; and (iii) expand the use of competitive tenders and other global best practices in the energy sector.",A and M,RE,84.7%,> 25,n/a,n/a,n/a,n/a,"• Solar park and transmission interconnection constructed.
• Capacity of Electricite du Cambodge in solar power plant construction and operation, project design and supervision, grid integration, and competitive procurement strengthened.",26.71,7.64,7.64,7.10, (0.02)
https://www.adb.org/projects/50240-001/main#project-pds,"Solomon Islands: Tina River Hydropower (3828/FY2019). Design, construct, and operate a 15-MW hydropower plant on the Tina River, which will supply electricity to Honiara, the capital of Solomon Islands. The project, which is estimated to generate 68% of Honiara's electricity needs, will reduce the cost of power supply generation by replacing diesel power with hydropower, and also reduce greenhouse gas (GHG) emissions. ",A and M,RE,80.0%,30,n/a,"76,900",15.0,"49,500","• 15 MW of hydropower plant commissioned by the special project company.
• 20 km of access road constructed.
• 23 km of 33-kV transmission line erected.
",222.57,18.00,18.00,0.00, -   
https://www.adb.org/projects/53106-001/main#project-pds,Viet Nam: Gulf Solar Power Project (3852/FY2019). Construct and operate a 50-MW solar power plant and associated transmission line in the Thanh Thanh Cong Industrial Zone of Tay Ninh Province. ,M,RE,100.0%,25,n/a,"62,000",50.0,"29,760","• 50 MW of solar photovoltaic electricity generation capacity installed.
• At least 14 jobs provided during operations, with sex-disaggregated data collected.
",51.50,11.30,11.30,11.30, (3.02)
https://www.adb.org/projects/53270-001/main#project-pds,Viet Nam: B. Grimm Viet Nam Solar Power Project (Phu Yen Project) (3902/FY2020). Operate a 257-MW solar photovoltaic power plant and its associated facilities in Phu Yen Province.,M,RE,100.0%,…,…,…,257.0,"123,000","• Total installed solar photovoltaic electricity generation capacity of the project increased to 257 MW by 2019—the solar plant achieved commercial operations in June 2019 (2018 baseline: 0).
• Transmission lines (220 kV) installed or upgraded increased to 12.2 km by 2019 (2018 baseline: 0).
",186.00,27.90,27.90,27.97, (5.35)
https://www.adb.org/projects/54035-001/main#project-pds,India: Gujarat Solar Power Project (3904/FY2020). Construct a 200-MW solar photovoltaic-based power plant located in the state of Gujarat in India.,M,RE,100.0%,…,…,"439,000",200.0,"385,000","• Electricity delivered to off-taker increased to 439 gigawatt-hours (GWh) per year by 2022.
• At least 22 jobs provided during operation, of which four are for women, by 2022.
• 200 MW of electricity-generating capacity installed by 2021. 
• At least 400 jobs provided during construction, of which 30% are for women, by 2021. 
",152.40,65.50,65.50,65.67, (15.89)
https://www.adb.org/projects/54268-001/main#project-pds,"Thailand: Green Loan for Renewable Energy and Electric Vehicle Charging Network (EVCN) (7644/3966/FY2020). Support Thailand's renewable energy sector, increase awareness about green loans, and support the transition from a conventional automotive industry to an electric vehicle industry in Thailand by establishing a comprehensive EVCN across Thailand's major cities.",M,RE,100.0%,…,…,…,…,"53,250","• Loan to Energy Absolute is certified as a climate loan by 2020 (2019 baseline: n/a).
• Comprehensive electric vehicle charging network comprising at least 2,800 charging outlets established by 2022 (2019 baseline: 1,000).
• Pre- and post-issuance reports for climate loan certification are submitted to the Climate Bonds Initiative by 2020. 
• Electricity delivery of the Nakornsawan Solar Power Project and the Hanuman Wind Power Project to off-taker continued at similar level until 2022 (2019 baseline: 620 GWh/year). 
",47.62,47.62,44.44,49.60, (27.11)
https://www.adb.org/projects/53340-001/main#project-pds,"Uzbekistan: Navoi Solar Power Project (7647/3986/FY2020). Construct a 100-MW, grid-connected solar power plant in Navoi District, Uzbekistan.",M,RE,100.0%,…,…,"258,200",100.0,"157,502","• Renewable electricity delivered by the project to the offtaker increased to at least 258.2 GWh per year by 2023.
• Number of jobs provided during operation totaled at least 22, of which three are for women, by 2023.
• Total installed electricity generation capacity of project increased to 100 MW by 2022. 
• Number of jobs provided during construction totaled at least 900, of which 15 are for women,b by 2022. 
",21.00,13.00,13.00,9.51, (2.17)
https://www.adb.org/projects/46122-005/main#project-pds,"Maldives: Preparing Outer Islands for Sustainable Energy Development Project, Additional Financing (3995/FY2020). Install equipment for solar diesel hybrid grids on about 160 islands. The project will replace inefficient diesel-based power generation grids with hybrid systems of both renewable energy and diesel.",A and M,RE and EE,100.0%,…,…,…,24.5,"4,501","• Gradual reduction in diesel consumption to 0.1–0.3 liters/kWh on outer islands by 2024 (2012 baseline: 0.45–0.70 liters/kWh consumed on outer islands).
• Electricity tariffs on average improved to cover closer to 100% of costs by 2024 (2011 baseline: Present retail tariffs on average cover less than 50% of costs). 
• 24.5 MW of solar photovoltaic capacity installed by project and private sector, 9.5 MWh of energy storage designed and installed, 20 MW of diesel generator sets replaced, and the distribution grids upgraded in 160 islands by 2023 (2018 baseline: 10.5 MW of solar photovoltaic, 5.0 MWh of energy storage, and 12.0 MW of diesel generator sets).
• Solar-photovoltaic-based ice-making machines installed in four outer islands by 2023.
• Disaster-resilient distribution system installed in one island by 2023.
• One renewable energy operated ferry for transport developed by 2023.
• Road map for transition to renewable energy including procurement, project management, technical and financial management, and safeguard support; and renewable energy pilot projects identified in the road map implemented by 2023.
",11.00,7.74,7.74,6.32, (0.03)
https://www.adb.org/projects/51308-004/main#project-pds,"India: Meghalaya Power Distribution Sector Improvement Project (3996/FY2020). Strengthen and modernize the power distribution network, reduce technical and commercial losses, and improve the power quality of the distribution network in Meghalaya State. ",A and M,EE,89.2%,…,…,…,…,"162,022","• 23 new 33/11 kV substations commissioned by 2025.
• 45 existing 33/11 kV substations upgraded and modernized by 2025.
• 1,440 km of new 33-kV and 11-kV distribution lines installed, and 774 km of existing distribution lines upgraded by 2025.
• 136 auto-reclosers and 597 fault passage indicators installed in the networks by 2025
• Distribution network connecting 100% of households in three selected villages to minigrid system renovated by 2025.
• Smart meters installed in 180,000 households by 2024.
• Online meter reading, billing, and collection system installed for 75,000 households by 2024.
• One new meter-testing laboratory installed and commissioned by 2024.",168.00,132.80,118.40,62.02, (4.39)
https://www.adb.org/projects/51033-001/main#project-pds,"China, People's Republic of: Air Quality Improvement in the Greater Beijing–Tianjin–Hebei (BTH) Region—Green Financing Scale up Project (4023/FY2020). Address emerging challenges in air quality improvement and GHG emission reduction in both the greater BTH and Yangtze River Delta regions through energy efficiency, cleaner transport systems development, renewable energy development, and cooling systems retrofit.",M,RE and EE,90.0%,…,…,…,…,"800,000","By 2027: 
• At least 449 tons of NOx, 67 tons of sulfur dioxide, and 44 tons of particulate matter emissions avoided annually. 
• At least 0.8 million tons of CO2 equivalent, including hydrofluorocarbons (HFCs), reduced annually. 

By 2026:
• At least one fast electric vehicle charging system demonstrated. 
• At least four cooling systems renovated for HFC emission reduction. 
• At least two renewable energy systems with high conversion efficiency developed in the targeted region. 
",650.78,150.00,135.00,74.20, (4.73)
